Event	ID	Name			Wwise Object Path	Notes
	442453602	Footstep_Switch			\Default Work Unit\Footstep_Switch	

Switch Group	ID	Name			Wwise Object Path	Notes
	442453602	Footstep_Switch			\Default Work Unit\Footstep_Switch	

Switch	ID	Name	Switch Group			Notes
	1531833962	Squish	Footstep_Switch			
	2058049674	Wood	Footstep_Switch			
	2412606308	Carpet	Footstep_Switch			
	3934470635	Blood	Footstep_Switch			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	25046496	sfx_character_footstepsCarpet_var1	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsCarpet_var1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Carpet Feet\sfx_character_footstepsCarpet_var1		76084
	57996871	sfx_character_footstepsSquish_var3	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsSquish_var3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Squish Feet\sfx_character_footstepsSquish_var3		132424
	61579268	sfx_character_footstepsSquish_var1	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsSquish_var1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Squish Feet\sfx_character_footstepsSquish_var1		101096
	81877567	sfx_character_footstepsWood_var2	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsWood_var2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Wood Feet\sfx_character_footstepsWood_var2		126108
	144699973	sfx_character_footstepsBlood_var0	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsBlood_var0_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Blood Feet\sfx_character_footstepsBlood_var0		66764
	160855787	sfx_character_footstepsBlood_var1	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsBlood_var1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Blood Feet\sfx_character_footstepsBlood_var1		60880
	297596586	sfx_character_footstepsSquish_var0	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsSquish_var0_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Squish Feet\sfx_character_footstepsSquish_var0		140272
	359605009	sfx_character_footstepsSquish_var4	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsSquish_var4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Squish Feet\sfx_character_footstepsSquish_var4		163872
	366658387	sfx_character_footstepsCarpet_var5	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsCarpet_var5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Carpet Feet\sfx_character_footstepsCarpet_var5		98344
	408025858	sfx_character_footstepsSquish_var5	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsSquish_var5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Squish Feet\sfx_character_footstepsSquish_var5		139920
	422823436	sfx_character_footstepsWood_var1	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsWood_var1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Wood Feet\sfx_character_footstepsWood_var1		105032
	469361865	sfx_character_footstepsCarpet_var2	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsCarpet_var2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Carpet Feet\sfx_character_footstepsCarpet_var2		93496
	522930070	sfx_character_footstepsCarpet_var0	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsCarpet_var0_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Carpet Feet\sfx_character_footstepsCarpet_var0		96932
	567512323	sfx_character_footstepsWood_var3	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsWood_var3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Wood Feet\sfx_character_footstepsWood_var3		97048
	578019906	sfx_character_footstepsBlood_var2	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsBlood_var2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Blood Feet\sfx_character_footstepsBlood_var2		74612
	591113436	sfx_character_footstepsBlood_var5	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsBlood_var5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Blood Feet\sfx_character_footstepsBlood_var5		84964
	702254361	sfx_character_footstepsWood_var4	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsWood_var4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Wood Feet\sfx_character_footstepsWood_var4		95456
	812384679	sfx_character_footstepsWood_var0	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsWood_var0_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Wood Feet\sfx_character_footstepsWood_var0		137996
	841762160	sfx_character_footstepsCarpet_var4	C:\Sound\Sound Projects\Unity\candle-light\baer_candlelight_Wwise\.cache\Windows\SFX\sfx_character_footstepsCarpet_var4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep Switch Container\Carpet Feet\sfx_character_footstepsCarpet_var4		91288
